"id","address","number","submitted","approved","update","condition","ccode1","ccode2","intervention_code","control","n_primary","n_secondary","gender","age_min_type","age_max_type","age_min","age_max","volunteers","purpose","allocation","masking","assignment","endpoint","phase","samplesize_target","samplesize_actual","start_anticipated","end_date","study_status","pub","n_ethics_committees","ethics_review","funding","n_funding","stats_section","ID","time"
"grid.415193.b","Prince of Wales Hospital","ACTRN12605000001695",2005-07-06,2005-07-07,2009-12-16,"adenocarcinoma of the gallbladder or intraextrahepatic bile ducts","Cancer","Biliary tree (gall bladder and bile duct)","Treatment: Drugs","Uncontrolled",1,6,"All","Not stated","Not stated",NA,NA,"No","Treatment","Non-randomised trial","Open (masking not used)","Single group","Safety/efficacy","Phase 2",45,NA,2005-02-01,NA,"Completed","No",5,"Approved","Commercial sector/Industry",1,NA,1,NA
"grid.416060.5","Monash Medical Centre","ACTRN12605000002684",2005-07-07,2005-07-08,2017-01-25,"hemiplegic cerebral palsy","Neurological","Other neurological disorders","Rehabilitation","Active",1,6,"All","Restricted","Restricted",1.5,6,"No","Treatment","Randomised controlled trial","Blinded (masking used)","Parallel","Efficacy",NA,40,34,2003-07-07,2008-09-25,"Completed","Yes",1,"Approved","Commercial sector/Industry",2,NA,2,4146
"grid.415335.5","Geelong Hospital","ACTRN12605000003673",2005-07-08,2005-07-08,2010-06-24,"breast cancer","Cancer","Breast","Treatment: Drugs","Active",1,3,"Females","Restricted","Not stated",18,NA,"No","Prevention","Randomised controlled trial","Open (masking not used)","Parallel","Efficacy","Phase 3",300,NA,2005-07-05,NA,"Active, not recruiting","No",1,"Approved","Commercial sector/Industry",1,NA,3,NA
NA,"ASPIRE Study NHMRC Clinical Trials Centre Locked Bag 77 Camperdown NSW 1450","ACTRN12605000004662",2005-07-12,2005-07-12,2013-05-27,"venous thromboembolism","Cardiovascular","Diseases of the vasculature and circulation including the lymphatic system","Prevention","Placebo",1,2,"All","Restricted","Not stated",18,NA,"No","Prevention","Randomised controlled trial","Blinded (masking used)","Parallel","Efficacy","Phase 3",822,NA,2003-05-01,2011-08-11,"Completed","Yes",20,"Approved","Government body",5,NA,4,3096
NA,"Stroke Unit  Research Office GPO Box X2213 Perth WA 6847","ACTRN12605000005651",2005-07-13,2005-07-13,2008-05-01,"stroke","Stroke","Ischaemic","Prevention","Placebo",1,1,"All","No limit","No limit",NA,NA,"No","Prevention","Randomised controlled trial","Blinded (masking used)","Parallel","Efficacy","Phase 3",8000,NA,1998-11-19,NA,"Recruiting","No",0,"Approved","Government body",3,NA,5,NA
"grid.1009.8","University of Tasmania","ACTRN12605000006640",2005-07-07,2005-07-13,2012-06-15,"chronic obstructive pulmonary disease","Respiratory","Chronic obstructive pulmonary disease","None","Active",1,4,"All","Restricted","Not stated",45,NA,"No","Educational / counselling / training","Non-randomised trial","Open (masking not used)","Parallel","Efficacy",NA,200,NA,2005-08-01,NA,"Completed","Yes",1,"Approved","Government body",1,NA,6,NA
"grid.271089.5","Menzies School of Health Research","ACTRN12605000007639",2005-07-13,2005-07-13,2016-08-11,"chrironex fleckeri major box jellyfish stingsenvenoming","Other",NA,"Treatment: Other","Active",1,8,"All","Restricted","Not stated",8,NA,"No","Treatment","Randomised controlled trial","Open (masking not used)","Parallel","Safety/efficacy",NA,55,46,2005-10-01,2008-10-25,"Completed","No",1,"Approved","Government body",1,NA,7,4116
NA,"Department of Respiratory Medicine Mater Hospital Raymond Terrace QLD 4101","ACTRN12605000008628",2005-07-13,2005-07-13,2007-09-14,"childhood asthma","Respiratory","Asthma","None","Active",1,2,"All","Restricted","Restricted",2,7,"No","Treatment","Randomised controlled trial","Open (masking not used)","Parallel","Efficacy",NA,60,NA,2005-05-07,NA,"Recruiting","No",1,"Approved","Charities/Societies/Foundations",1,NA,8,NA
NA,"Intensive Care Research The Alfred Commercial Road Melbourne VIC 3004","ACTRN12605000009617",2005-07-12,2005-07-14,2016-03-11,"severe diffuse traumatic brain injury with refractory intracranial hypertension","Neurological","Other neurological disorders","Treatment: Surgery","Active",1,8,"All","Restricted","Restricted",15,60,"No","Treatment","Randomised controlled trial","Open (masking not used)","Parallel","Efficacy","Phase 3",165,155,2003-08-01,2010-04-16,"Active, not recruiting","Yes",16,"Approved","Government body",5,NA,9,3578
"grid.416100.2","Royal Brisbane and Women s Hospital","ACTRN12605000010695",2005-07-12,2005-07-15,2005-07-15,"diagnosis of pumonary emboli pe","Cardiovascular","Clotting disorders","Diagnosis / Prognosis","Uncontrolled",1,3,"All","Restricted","Not stated",18,NA,"No","Diagnosis","Non-randomised trial","Open (masking not used)","Single group","Safety","Phase 1 / Phase 2",14,NA,2005-01-06,NA,"Recruiting","No",7,"Approved","Commercial sector/Industry",1,NA,10,NA
